[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         11148287 function calls (10944247 primitive calls) in 68.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.008    0.000    0.008    0.000 {built-in method posix.mkdir}
    35862    0.008    0.000    0.019    0.000 generic.py:42(_instancecheck)
      155    0.008    0.000    0.010    0.000 library.py:135(define)
     2243    0.008    0.000    0.022    0.000 typing_extensions.py:3127(_collect_type_vars)
    34101    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     8203    0.008    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
 4098/625    0.008    0.000    4.876    0.008 <frozen importlib._bootstrap_external>:877(exec_module)
     4097    0.008    0.000    0.272    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
    31307    0.008    0.000    0.008    0.000 sre_parse.py:234(__next)
        1    0.008    0.008    0.015    0.015 datetimes.py:128(_guess_datetime_format_for_array)
       11    0.007    0.001    0.008    0.001 shape_base.py:220(vstack)
      194    0.007    0.000    0.021    0.000 enum.py:180(__new__)
    10012    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:198(cb)
     3696    0.007    0.000    0.012    0.000 inspect.py:612(unwrap)
     3620    0.007    0.000    0.036    0.000 inspect.py:813(getsourcefile)
    84311    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
    22199    0.007    0.000    0.011    0.000 typing.py:935(_is_dunder)
    10012    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:71(__init__)
    18145    0.007    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    35862    0.007    0.000    0.010    0.000 generic.py:37(_check)
    26568    0.007    0.000    0.008    0.000 feedparser.py:78(readline)
    31794    0.007    0.000    0.010    0.000 sre_parse.py:165(__getitem__)
    12291    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     4640    0.007    0.000    0.030    0.000 validation.py:690(_pandas_dtype_needs_early_conversion)
     1674    0.007    0.000    0.017    0.000 inspect.py:1959(_signature_bound_method)
     4402    0.007    0.000    0.127    0.000 re.py:288(_compile)
     2196    0.007    0.000    0.057    0.000 _ops.py:1089(__getattr__)
      201    0.007    0.000    0.009    0.000 {built-in method _abc._abc_register}
     7960    0.007    0.000    0.036    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    33834    0.007    0.000    0.009    0.000 utils.py:375(<genexpr>)
     1717    0.007    0.000    0.068    0.000 typing.py:483(Union)
     3526    0.006    0.000    0.016    0.000 {built-in method builtins.sum}
    18949    0.006    0.000    0.012    0.000 {built-in method builtins.max}
      153    0.006    0.000    0.011    0.000 inspect.py:744(cleandoc)
    68669    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
     4097    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
    31273    0.006    0.000    0.006    0.000 {method 'rpartition' of 'str' objects}
     1289    0.006    0.000    0.014    0.000 backends.py:658(__new__)
     5037    0.006    0.000    0.088    0.000 codecs.py:319(decode)
     6338    0.006    0.000    0.020    0.000 typing.py:1194(__getitem__)
      305    0.006    0.000    0.006    0.000 {method 'readlines' of '_io._IOBase' objects}
    48199    0.006    0.000    0.008    0.000 import_utils.py:2607(<genexpr>)
    10599    0.006    0.000    0.011    0.000 posixpath.py:60(isabs)
     3517    0.006    0.000    0.228    0.000 frame.py:3988(_ixs)
4325/4313    0.006    0.000    0.462    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1695    0.006    0.000    0.044    0.000 textwrap.py:422(dedent)
    12089    0.006    0.000    0.025    0.000 genericpath.py:39(isdir)
     4475    0.006    0.000    0.006    0.000 {built-in method torch._C._get_schema}
      474    0.006    0.000    0.006    0.000 {built-in method builtins.compile}
29339/29336    0.006    0.000    0.017    0.000 {built-in method builtins.all}
        1    0.006    0.006    0.052    0.052 _meta_registrations.py:7287(activate_meta)
       73    0.006    0.000    0.016    0.000 feedparser.py:471(_parse_headers)
10232/4300    0.006    0.000    0.006    0.000 module.py:2787(named_modules)
     3490    0.006    0.000    0.178    0.000 frame.py:4519(_set_item)
        4    0.006    0.001    0.006    0.001 {built-in method _ctypes.dlopen}
      576    0.006    0.000    0.006    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
7514/7513    0.006    0.000    0.006    0.000 {method 'format' of 'str' objects}
    15681    0.006    0.000    0.009    0.000 conflict.py:7(supercedes)
      453    0.005    0.000    0.031    0.000 wrappers.py:255(_out_wrapper)
     3484    0.005    0.000    0.108    0.000 frame.py:4475(_iset_item_mgr)
     2884    0.005    0.000    0.008    0.000 inspect.py:66(get_annotations)
     9605    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     7938    0.005    0.000    0.007    0.000 inspect.py:1712(_shadowed_dict)
       96    0.005    0.000    0.005    0.000 {built-in method torch.tanh}
4299/1097    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
      107    0.005    0.000    0.007    0.000 url.py:210(_encode_invalid_chars)
     7515    0.005    0.000    0.048    0.000 posixpath.py:377(abspath)
     3490    0.005    0.000    0.043    0.000 frame.py:5249(_sanitize_column)
       11    0.005    0.000    0.006    0.001 cast.py:123(maybe_convert_platform)
     3517    0.005    0.000    0.197    0.000 frame.py:4613(_box_col_values)
54041/53347    0.005    0.000    0.005    0.000 {built-in method builtins.hash}
    39224    0.005    0.000    0.005    0.000 {built-in method builtins.min}
        1    0.005    0.005    0.013    0.013 sorting.py:122(get_group_index)
    26568    0.005    0.000    0.013    0.000 feedparser.py:128(__next__)
      110    0.005    0.000    0.036    0.000 inspect.py:1101(getblock)
    24945    0.005    0.000    0.011    0.000 sre_parse.py:255(get)
    10942    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:404(parent)
    38833    0.005    0.000    0.005    0.000 {built-in method _imp.acquire_lock}
     1744    0.005    0.000    0.006    0.000 _ops.py:120(inner)
     2359    0.005    0.000    0.217    0.000 frame.py:4631(_get_item_cache)
     1863    0.005    0.000    0.005    0.000 {built-in method torch._C._dispatch_has_kernel}
