[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         2362319229 function calls (2358581797 primitive calls) in 1044.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1225    0.014    0.000    0.014    0.000 {built-in method torch._C._jit_get_operation}
        6    0.014    0.002    0.017    0.003 managers.py:1707(_interleave)
     3000    0.014    0.000    0.014    0.000 tokenization_utils_fast.py:307(_convert_encoding)
       96    0.013    0.000    0.013    0.000 {built-in method torch.sum}
 3583/342    0.013    0.000    0.034    0.000 sre_compile.py:87(_compile)
     4310    0.013    0.000    0.067    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
 4303/625    0.013    0.000    4.489    0.007 <frozen importlib._bootstrap>:664(_load_unlocked)
 4425/622    0.012    0.000    4.526    0.007 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     1728    0.012    0.000    0.012    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
     8056    0.012    0.000    0.012    0.000 {method '__exit__' of '_io._IOBase' objects}
    19174    0.012    0.000    0.014    0.000 _ops.py:1045(<genexpr>)
     1152    0.012    0.000    1.085    0.001 indexing.py:882(__setitem__)
       14    0.012    0.001    0.013    0.001 shape_base.py:220(vstack)
    95320    0.012    0.000    0.012    0.000 {method 'endswith' of 'str' objects}
     4452    0.012    0.000    0.176    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     1248    0.012    0.000    0.777    0.001 functional.py:2889(layer_norm)
     3183    0.012    0.000    0.012    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
        1    0.012    0.012    0.012    0.012 {built-in method from_file}
    53413    0.012    0.000    0.013    0.000 {built-in method builtins.setattr}
        1    0.012    0.012    0.012    0.012 {built-in method _socket.getaddrinfo}
    19925    0.011    0.000    0.079    0.000 package_importer.py:721(_patched_getfile)
     2457    0.011    0.000    0.017    0.000 numeric.py:290(full)
     1152    0.011    0.000    1.014    0.001 indexing.py:1785(_setitem_with_indexer)
    97137    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
        8    0.011    0.001    0.054    0.007 managers.py:708(_slice_take_blocks_ax0)
    22183    0.011    0.000    0.023    0.000 typing.py:986(__setattr__)
     2803    0.011    0.000    0.172    0.000 dataclasses.py:412(_create_fn)
     1152    0.011    0.000    0.039    0.000 indexing.py:744(_get_setitem_indexer)
     1248    0.011    0.000    0.011    0.000 {built-in method torch.dropout}
     5912    0.011    0.000    0.022    0.000 typing.py:146(_type_check)
     1170    0.010    0.000    0.466    0.000 frame.py:4276(__setitem__)
     1002    0.010    0.000    0.020    0.000 _strptime.py:309(_strptime)
      428    0.010    0.000    0.010    0.000 {built-in method builtins.eval}
     1355    0.010    0.000    0.012    0.000 sre_compile.py:292(_optimize_charset)
  467/465    0.010    0.000    0.199    0.000 inspect.py:850(getmodule)
     1248    0.010    0.000    0.788    0.001 normalization.py:216(forward)
     1154    0.009    0.000    0.029    0.000 astype.py:56(_astype_nansafe)
      439    0.009    0.000    0.015    0.000 doccer.py:231(indentcount_lines)
     2601    0.009    0.000    0.059    0.000 typing.py:1016(__init__)
     2070    0.009    0.000    0.009    0.000 {built-in method torch._C._get_operation_overload}
     3068    0.009    0.000    0.022    0.000 dataclasses.py:722(_get_field)
     4475    0.009    0.000    0.027    0.000 _ops.py:1044(_has_script_object_arg)
